customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,NumServices,IsFamily,ContractRisk,ChargeRatio,PaymentRisk
0280-XJGEX,0,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,4-5 years,6,0,3,0.020586425267504416,0
5129-JLPIS,0,0,0,0,25,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,105.5,2686.05,0,2-4 years,6,0,3,0.03926238812080162,1
3655-SNQYZ,1,0,1,1,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),113.25,7895.15,0,5+ years,8,1,1,0.014342432704545887,0
8191-XWSZG,1,0,0,0,52,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.65,1022.95,0,4-5 years,1,0,2,0.020167000341813564,0
9959-WOFKT,0,0,0,1,71,1,1,Fiber optic,1,0,1,0,1,1,Two year,0,Bank transfer (automatic),106.7,7382.25,0,5+ years,6,1,1,0.01445163037957539,0
4190-MFLUW,1,0,1,1,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,528.35,1,6-12 months,3,1,3,0.10427883253046188,0
4183-MYFRB,1,0,0,0,21,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,90.05,1862.9,0,1-2 years,4,0,3,0.04831267771876173,1
8779-QRDMV,0,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39.65,1,0-6 months,2,0,3,0.97539975399754,1
1680-VDCWW,0,0,1,0,12,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,202.25,0,6-12 months,1,1,2,0.0974169741697417,0
1066-JKSGK,0,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,20.15,1,0-6 months,1,0,3,0.9527186761229315,0
3638-WEABW,1,0,1,0,58,1,1,DSL,0,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,3505.1,0,4-5 years,4,1,1,0.017084509854254016,0
6322-HRPFA,0,0,1,1,49,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,4-5 years,4,1,3,0.020058560226163633,0
6865-JZNKO,1,0,0,0,30,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,2-4 years,3,0,3,0.03610603290676417,0
6467-CHFZW,0,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749.15,1,2-4 years,5,1,3,0.020915128995926444,1
8665-UTDHZ,0,0,1,1,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30.2,1,0-6 months,1,1,3,0.967948717948718,1
5248-YGIJN,0,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,6369.45,0,5+ years,8,1,1,0.014166974075614753,0
8773-HHUOZ,1,0,0,1,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093.1,1,1-2 years,3,1,3,0.05913536239831826,0
3841-NFECX,1,1,1,0,71,1,1,Fiber optic,1,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,6766.95,0,5+ years,6,1,1,0.014236216284103754,0
4929-XIHVW,0,1,1,0,2,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0-6 months,4,1,3,0.5228579249931563,0
6827-IEAUQ,1,0,1,1,27,1,0,DSL,1,1,1,1,0,0,One year,0,Mailed check,66.15,1874.45,0,2-4 years,5,1,2,0.03527153483164041,0
7310-EGVHZ,0,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,0-6 months,1,0,3,0.9528301886792453,0
3413-BMNZE,0,1,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,0-6 months,1,0,3,0.9783783783783784,0
6234-RAAPL,1,0,1,1,72,1,1,Fiber optic,1,1,0,1,1,0,Two year,0,Bank transfer (automatic),99.9,7251.7,0,5+ years,6,1,1,0.013774180649964841,0
6047-YHPVI,0,0,0,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316.9,1,0-6 months,1,0,3,0.21925133689839574,1
6572-ADKRS,1,0,0,0,46,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,2-4 years,2,0,3,0.021074578085819737,0
5380-WJKOV,0,0,0,0,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549.25,1,2-4 years,6,0,3,0.02995563692697697,1
8168-UQWWF,1,0,0,0,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,6-12 months,5,0,3,0.08843998553868401,0
8865-TNMNX,0,0,1,1,10,1,0,DSL,0,1,0,0,0,0,One year,0,Mailed check,49.55,475.7,0,6-12 months,2,1,2,0.1039437801552339,0
9489-DEDVP,1,0,1,1,70,1,1,DSL,1,1,0,0,1,0,Two year,1,Credit card (automatic),69.2,4872.35,0,5+ years,5,1,1,0.01419967783967907,0
9867-JCZSP,1,0,1,1,17,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.75,418.25,0,1-2 years,1,1,2,0.04949314251639833,0
4671-VJLCL,1,0,0,0,63,1,1,DSL,1,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,4861.45,0,5+ years,7,0,1,0.016421762691647215,0
4080-IIARD,1,0,1,0,13,1,1,DSL,1,1,0,1,1,0,Month-to-month,1,Electronic check,76.2,981.45,0,1-2 years,6,1,3,0.07756119904320831,1
3714-NTNFO,1,0,0,0,49,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.5,3906.7,0,4-5 years,3,0,3,0.021623973181155155,1
5948-UJZLF,0,0,0,0,2,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,97.0,0,0-6 months,2,0,3,0.5025510204081632,0
7760-OYPDY,1,0,0,0,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,1,0-6 months,2,0,3,0.555632104719256,1
7639-LIAYI,0,0,0,0,52,1,1,DSL,1,0,0,1,1,1,Two year,1,Credit card (automatic),79.75,4217.8,0,4-5 years,6,0,1,0.01890347966246326,0
2954-PIBKO,1,0,1,1,69,1,1,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,4254.1,0,5+ years,5,1,1,0.015076026415360391,0
8012-SOUDQ,1,1,0,0,43,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,90.25,3838.75,0,2-4 years,4,0,3,0.023504134383748942,1
9420-LOJKX,1,0,0,0,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,1-2 years,5,0,3,0.06942693008266777,0
6575-SUVOI,1,1,1,0,25,1,1,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,2-4 years,5,1,3,0.039631625466883355,0
7495-OOKFY,1,1,1,0,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,1,6-12 months,3,1,3,0.12714803720636925,0
4667-QONEA,1,1,1,1,60,1,0,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),74.85,4456.35,0,4-5 years,6,1,2,0.01679248881061617,0
1658-BYGOY,0,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,1,1-2 years,4,0,3,0.05443243705625731,1
8769-KKTPH,1,0,1,1,63,1,1,Fiber optic,1,0,0,0,1,1,One year,1,Credit card (automatic),99.65,6311.2,0,5+ years,5,1,2,0.01578688888184785,0
5067-XJQFU,0,1,1,1,66,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,108.45,7076.35,0,5+ years,7,1,2,0.0153235321130084,1
3957-SQXML,1,0,1,1,34,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),24.95,894.3,0,2-4 years,2,1,1,0.02786775382553334,0
5954-BDFSG,1,0,0,0,72,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Credit card (automatic),107.5,7853.7,0,5+ years,6,0,1,0.013686073306428,0
0434-CSFON,1,0,1,0,47,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,4707.1,0,2-4 years,5,1,3,0.021346190607676133,1
1215-FIGMP,0,0,0,0,60,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,4-5 years,4,0,3,0.01649026909037548,0
0526-SXDJP,0,0,1,0,72,0,0,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),42.1,2962.0,0,5+ years,3,1,1,0.01420857239284509,0
0557-ASKVU,1,0,1,1,18,1,0,DSL,0,0,1,1,0,0,One year,1,Credit card (automatic),54.4,957.1,0,1-2 years,3,1,2,0.056779041853668714,0
5698-BQJOH,1,0,0,0,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,1,6-12 months,4,0,3,0.10999126128750365,1
5122-CYFXA,1,0,0,0,3,1,0,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,244.1,0,0-6 months,5,0,3,0.3072215422276622,1
8627-ZYGSZ,0,0,1,0,47,1,1,Fiber optic,0,1,0,0,0,0,One year,1,Electronic check,78.9,3650.35,0,2-4 years,3,1,2,0.02160844619113479,1
3410-YOQBQ,1,0,0,0,31,1,0,DSL,0,1,1,1,1,1,Two year,0,Mailed check,79.2,2497.2,0,2-4 years,6,0,1,0.03170282603474502,0
3170-NMYVV,1,0,1,1,50,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.15,930.9,0,4-5 years,1,1,1,0.021622491683657045,0
7410-OIEDU,0,0,0,0,10,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Mailed check,79.85,887.35,0,6-12 months,3,0,3,0.08988574323183429,0
2273-QCKXA,0,0,0,0,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,49.05,0,0-6 months,2,0,3,0.98001998001998,0
0731-EBJQB,1,0,1,1,52,1,0,No,0,0,0,0,0,0,One year,1,Electronic check,20.4,1090.65,0,4-5 years,1,1,2,0.01868730820317867,1
1891-QRQSA,0,1,1,1,64,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),111.6,7099.0,0,5+ years,7,1,1,0.015718309859154928,0
8028-PNXHQ,0,0,1,1,62,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.25,1424.6,0,5+ years,2,1,1,0.01701038159371493,0
5630-AHZIL,1,0,0,1,3,1,0,DSL,1,0,0,1,0,1,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,0-6 months,4,1,3,0.3615470852017937,0
2673-CXQEU,1,1,0,0,56,1,1,Fiber optic,1,1,1,0,1,1,One year,0,Electronic check,110.5,6139.5,0,4-5 years,7,0,2,0.017995277257552317,1
6416-JNVRK,1,0,0,0,46,1,0,DSL,0,0,0,0,0,1,One year,0,Credit card (automatic),55.65,2688.85,0,2-4 years,2,0,2,0.02068888599736045,0
5590-ZSKRV,1,0,1,1,8,1,0,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,54.65,482.25,0,6-12 months,3,1,3,0.11308846352819452,0
0191-ZHSKZ,0,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,0,2-4 years,5,0,3,0.03538796572456564,1
3887-PBQAO,1,0,1,1,45,1,1,No,0,0,0,0,0,0,One year,1,Credit card (automatic),25.9,1216.6,0,2-4 years,2,1,2,0.021271353482260183,0
5919-TMRGD,1,0,0,1,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,79.35,1,0-6 months,2,1,3,0.9875544492843809,1
8108-UXRQN,1,0,1,1,11,0,0,DSL,1,0,0,0,1,1,Month-to-month,0,Electronic check,50.55,565.35,0,6-12 months,3,1,3,0.0892557605720844,1
9191-MYQKX,1,0,1,0,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,6-12 months,2,1,3,0.15093392247439247,0
9919-YLNNG,1,0,0,0,42,1,0,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,2-4 years,6,0,3,0.02398059373917061,0
0318-ZOPWS,1,0,1,0,49,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.15,973.35,0,4-5 years,1,1,1,0.02068045363575717,0
4445-ZJNMU,0,0,0,0,9,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.3,918.75,0,6-12 months,5,0,3,0.10796412068496875,0
4808-YNLEU,1,0,1,0,35,1,0,DSL,1,0,0,0,1,0,One year,1,Bank transfer (automatic),62.15,2215.45,0,2-4 years,3,1,2,0.028040334769563944,0
1862-QRWPE,1,0,1,1,48,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.65,1057.0,0,2-4 years,1,1,1,0.0195179584120983,0
2796-NNUFI,1,0,1,1,46,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.95,927.1,0,2-4 years,1,1,1,0.02149552849908415,0
3016-KSVCP,0,0,1,0,29,0,0,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,33.75,1009.25,0,2-4 years,1,1,3,0.0334075723830735,0
4767-HZZHQ,0,0,1,1,30,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,2-4 years,3,1,3,0.031911169881767266,0
2424-WVHPL,0,1,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Electronic check,74.7,74.7,0,0-6 months,2,0,3,0.9867899603698811,1
7233-PAHHL,0,0,1,1,66,1,1,DSL,1,0,1,1,1,1,Two year,1,Mailed check,84.0,5714.25,0,5+ years,7,1,1,0.014697519793534841,0
6067-NGCEU,1,0,0,0,65,1,1,Fiber optic,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,5+ years,7,0,3,0.015623241418120427,0
9848-JQJTX,0,0,0,0,72,1,1,Fiber optic,0,1,1,0,1,1,Two year,1,Bank transfer (automatic),100.9,7459.05,0,5+ years,6,0,1,0.013525378516229784,0
8637-XJIVR,1,0,0,0,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,927.35,1,6-12 months,3,0,3,0.0850433564927021,1
9803-FTJCG,0,0,1,1,71,1,1,DSL,1,1,0,1,0,0,One year,1,Credit card (automatic),66.85,4748.7,0,5+ years,5,1,2,0.014074573130934584,0
0278-YXOOG,0,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.85,1,0-6 months,1,0,3,0.18328254244666958,0
3212-KXOCR,0,0,0,0,52,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),21.0,1107.2,0,4-5 years,1,0,1,0.018949648077964266,0
4598-XLKNJ,1,1,1,0,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,2514.5,1,2-4 years,5,1,3,0.03915722520373683,1
6380-ARCEH,0,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.2,20.2,0,0-6 months,1,0,3,0.9528301886792453,0
3679-XASPY,1,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.45,19.45,0,0-6 months,1,1,3,0.9511002444987775,1
7123-WQUHX,0,0,0,0,38,1,1,Fiber optic,0,0,1,1,1,0,One year,0,Bank transfer (automatic),95.0,3605.6,0,2-4 years,5,0,2,0.026340597792935176,0
5386-THSLQ,1,1,1,0,66,0,0,DSL,0,1,1,0,1,0,One year,0,Bank transfer (automatic),45.55,3027.25,0,5+ years,3,1,2,0.015041690745480061,0
3192-NQECA,0,0,1,0,68,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),110.0,7611.85,1,5+ years,7,1,1,0.014449253564696531,0
6180-YBIQI,0,0,0,0,5,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,24.3,100.2,0,0-6 months,0,0,3,0.24011857707509882,0
6728-DKUCO,1,0,1,1,72,1,1,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,104.15,7303.05,0,5+ years,6,1,2,0.014259212354789467,1
9750-BOOHV,1,0,0,0,32,0,0,DSL,1,0,0,0,0,0,One year,0,Mailed check,30.15,927.65,0,2-4 years,1,0,2,0.0324664836052334,0
8597-CWYHH,0,0,0,0,43,1,1,Fiber optic,0,0,0,0,1,1,One year,0,Mailed check,94.35,3921.3,0,2-4 years,4,0,2,0.024054763786553805,0
2848-YXSMW,0,0,1,1,72,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.4,1363.25,0,5+ years,1,1,1,0.014220267546270845,0
0486-HECZI,0,0,1,0,55,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,5238.9,1,4-5 years,5,1,3,0.018464092826198975,1
4549-ZDQYY,1,0,0,0,52,1,0,DSL,1,0,1,1,0,0,One year,0,Credit card (automatic),57.95,3042.25,0,4-5 years,4,0,2,0.019042142446397767,0
5712-AHQNN,1,0,0,0,43,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,91.65,3954.1,0,2-4 years,4,0,3,0.02317261257616748,1
4846-WHAFZ,1,1,1,0,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,2868.15,1,2-4 years,2,1,3,0.026662948957008173,1
5256-SKJGO,1,0,1,1,64,0,0,DSL,0,1,0,1,1,1,Two year,1,Electronic check,54.6,3423.5,0,5+ years,4,1,1,0.015943933420937365,1
3071-VBYPO,0,0,1,1,3,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,89.85,248.4,0,0-6 months,4,1,3,0.3602646351242983,1
9560-BBZXK,1,0,0,0,36,0,0,DSL,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),31.05,1126.35,0,2-4 years,1,0,1,0.02754246684703065,0
5299-RULOA,1,0,1,1,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1064.65,1,6-12 months,5,1,3,0.09407403931872566,1
8402-OOOHJ,1,0,0,0,41,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.65,835.15,0,2-4 years,1,0,1,0.0246965257429887,0
9445-ZUEQE,0,0,1,1,27,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,2-4 years,4,1,3,0.03958004273901329,0
1091-SOZGA,1,0,1,1,56,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Credit card (automatic),99.8,5515.45,0,4-5 years,5,1,2,0.01809134497729518,0
2928-HLDBA,1,0,0,0,6,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.7,112.75,0,0-6 months,1,0,3,0.18197802197802196,0
0404-SWRVG,0,0,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,229.55,1,0-6 months,2,0,3,0.32270657124268054,1
6497-TILVL,1,0,1,1,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,50.7,350.35,0,6-12 months,2,1,3,0.14430055500213462,0
7219-TLZHO,1,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.85,62.9,0,0-6 months,1,1,3,0.3262910798122066,0
4622-YNKIJ,0,0,0,0,33,1,0,Fiber optic,1,0,0,1,1,0,Two year,1,Electronic check,88.95,3027.65,0,2-4 years,4,0,1,0.029369521073745727,1
4412-YLTKF,1,1,0,0,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,78.05,2135.5,1,2-4 years,3,0,3,0.03653171074186754,1
6734-PSBAW,0,0,1,0,72,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),23.55,1723.95,0,5+ years,2,1,1,0.013652569639699701,0
3930-ZGWVE,0,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.75,19.75,0,0-6 months,1,0,3,0.9518072289156626,0
2639-UGMAZ,0,1,0,0,71,0,0,DSL,1,1,0,0,1,1,One year,1,Electronic check,56.45,3985.35,0,5+ years,4,0,2,0.014160823811255913,1
2876-GZYZC,1,0,0,0,13,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.95,1215.65,0,1-2 years,3,0,3,0.07064480335347059,1
6207-WIOLX,1,0,1,1,25,0,0,DSL,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,2-4 years,5,1,3,0.03897183520101087,0
8587-XYZSF,0,0,0,0,67,1,0,DSL,0,0,0,1,0,0,Two year,0,Bank transfer (automatic),50.55,3260.1,0,5+ years,2,0,1,0.015500904602741407,0
3091-FYHKI,0,0,0,0,1,0,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,35.45,1,0-6 months,1,0,3,0.9725651577503429,1
2372-HWUHI,0,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.35,81.25,1,0-6 months,1,0,3,0.539209726443769,1
7799-LGRDP,1,0,0,0,43,1,1,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),25.7,1188.2,0,2-4 years,2,0,1,0.02161116717120753,0
7850-VWJUU,1,0,0,0,23,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.0,1778.5,0,1-2 years,2,0,3,0.04214667041303737,0
3774-VBNXY,1,0,1,1,64,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.2,1277.75,0,5+ years,1,1,1,0.015796676441837732,0
6217-KDYWC,0,0,0,1,57,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.6,1170.55,0,4-5 years,1,1,1,0.016729973112543213,0
0390-DCFDQ,1,1,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,70.45,1,0-6 months,1,1,3,0.9860041987403779,0
3146-MSEGF,1,1,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),88.05,6425.65,0,5+ years,8,1,1,0.013700761672099772,0
4080-OGPJL,1,0,0,0,8,1,1,DSL,1,0,0,1,0,1,Month-to-month,0,Electronic check,71.15,563.65,1,6-12 months,5,0,3,0.12600726113521651,1
1095-WGNGG,1,0,1,0,61,1,1,Fiber optic,0,1,0,0,1,1,Two year,1,Bank transfer (automatic),101.05,5971.25,0,5+ years,5,1,1,0.016919921302691616,0
2636-SJDOU,0,0,0,0,64,1,1,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),84.3,5289.05,0,5+ years,4,0,2,0.015935577168457764,0
1131-QQZEB,0,1,1,0,71,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),23.95,1756.2,0,5+ years,2,1,1,0.013629638060550876,0
5716-EZXZN,1,0,1,1,65,1,1,Fiber optic,1,1,0,1,1,0,Two year,1,Credit card (automatic),99.05,6416.7,0,5+ years,6,1,1,0.015433878180656621,0
6837-BJYDQ,0,0,0,0,3,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.6,61.35,0,0-6 months,1,0,2,0.3143544506816359,0
2135-RXIHG,0,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,45.65,1,0-6 months,1,0,3,0.9785637727759914,1
6440-DKQGE,0,0,0,1,30,1,0,DSL,0,1,1,0,1,0,One year,0,Credit card (automatic),64.5,1929.95,0,2-4 years,4,1,2,0.033403247106346616,0
3466-BYAVD,0,0,1,1,15,1,0,DSL,0,1,1,1,0,1,Month-to-month,1,Mailed check,69.5,1071.4,0,1-2 years,5,1,3,0.06480790749720253,0
3780-YVMFA,1,0,1,1,8,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Electronic check,68.55,564.35,0,6-12 months,4,1,3,0.12125232157070841,1
3874-EQOEP,0,0,0,0,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Mailed check,95.0,655.5,1,6-12 months,4,0,3,0.1447067783701447,0
1679-JRFBR,1,0,1,1,70,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Credit card (automatic),108.15,7930.55,0,5+ years,7,1,2,0.01363541804565312,0
9073-ZZIAY,0,0,1,1,62,1,0,DSL,1,1,1,1,1,1,Two year,0,Electronic check,86.1,5215.25,0,5+ years,7,1,1,0.01650611071171819,1
